now.iso,now.custom,cpu.user,mem.used,load.min1,load.min5,load.min15,load.cpucore
2024-09-04T23:14:32+03:00,2024-09-04 23:14:32 IDT,83.9,8024887296,2.23193359375,1.99169921875,1.865234375,4
2024-09-04T23:14:34+03:00,2024-09-04 23:14:34 IDT,83.9,8024887296,2.23193359375,1.99169921875,1.865234375,4
2024-09-04T23:14:37+03:00,2024-09-04 23:14:37 IDT,43.0,8039895040,2.1328125,1.97509765625,1.8603515625,4
2024-09-04T23:14:38+03:00,2024-09-04 23:14:38 IDT,43.0,8039895040,2.1328125,1.97509765625,1.8603515625,4
2024-09-04T23:14:40+03:00,2024-09-04 23:14:40 IDT,44.4,8052703232,2.1328125,1.97509765625,1.8603515625,4
2024-09-04T23:14:42+03:00,2024-09-04 23:14:42 IDT,44.4,8052703232,2.1328125,1.97509765625,1.8603515625,4
2024-09-04T23:14:45+03:00,2024-09-04 23:14:45 IDT,65.0,8045711360,2.36279296875,2.025390625,1.87744140625,4
2024-09-04T23:14:46+03:00,2024-09-04 23:14:46 IDT,65.0,8045711360,2.36279296875,2.025390625,1.87744140625,4
2024-09-04T23:14:49+03:00,2024-09-04 23:14:49 IDT,65.1,8053415936,2.57421875,2.0751953125,1.89453125,4
2024-09-04T23:14:50+03:00,2024-09-04 23:14:50 IDT,65.1,8053415936,2.57421875,2.0751953125,1.89453125,4
2024-09-04T23:14:53+03:00,2024-09-04 23:14:53 IDT,70.5,8065007616,3.4091796875,2.2568359375,1.95458984375,4
2024-09-04T23:14:54+03:00,2024-09-04 23:14:54 IDT,70.5,8065007616,3.4091796875,2.2568359375,1.95458984375,4
2024-09-04T23:14:57+03:00,2024-09-04 23:14:57 IDT,68.0,8029696000,4.01708984375,2.40234375,2.00341796875,4
2024-09-04T23:14:58+03:00,2024-09-04 23:14:58 IDT,68.0,8029696000,4.01708984375,2.40234375,2.00341796875,4
2024-09-04T23:15:01+03:00,2024-09-04 23:15:01 IDT,75.8,8038182912,4.89697265625,2.61181640625,2.0732421875,4
2024-09-04T23:15:02+03:00,2024-09-04 23:15:02 IDT,75.8,8038182912,4.89697265625,2.61181640625,2.0732421875,4
2024-09-04T23:15:05+03:00,2024-09-04 23:15:05 IDT,70.2,8034205696,4.89697265625,2.61181640625,2.0732421875,4
2024-09-04T23:15:06+03:00,2024-09-04 23:15:06 IDT,70.2,8034205696,4.89697265625,2.61181640625,2.0732421875,4
2024-09-04T23:15:09+03:00,2024-09-04 23:15:09 IDT,67.0,8065114112,5.2255859375,2.71826171875,2.11083984375,4
2024-09-04T23:15:10+03:00,2024-09-04 23:15:10 IDT,67.0,8065114112,5.2255859375,2.71826171875,2.11083984375,4
2024-09-04T23:15:13+03:00,2024-09-04 23:15:13 IDT,76.7,8026980352,5.5283203125,2.82275390625,2.14794921875,4
2024-09-04T23:15:14+03:00,2024-09-04 23:15:14 IDT,76.7,8026980352,5.5283203125,2.82275390625,2.14794921875,4
2024-09-04T23:15:17+03:00,2024-09-04 23:15:17 IDT,65.4,8014245888,5.56640625,2.8759765625,2.1689453125,4
2024-09-04T23:15:18+03:00,2024-09-04 23:15:18 IDT,65.4,8014245888,5.56640625,2.8759765625,2.1689453125,4
2024-09-04T23:15:21+03:00,2024-09-04 23:15:21 IDT,76.6,8020795392,5.921875,2.99462890625,2.21142578125,4
2024-09-04T23:15:22+03:00,2024-09-04 23:15:22 IDT,76.6,8020795392,5.921875,2.99462890625,2.21142578125,4
2024-09-04T23:15:25+03:00,2024-09-04 23:15:25 IDT,75.2,8035708928,5.921875,2.99462890625,2.21142578125,4
2024-09-04T23:15:26+03:00,2024-09-04 23:15:26 IDT,75.2,8035708928,5.921875,2.99462890625,2.21142578125,4
2024-09-04T23:15:29+03:00,2024-09-04 23:15:29 IDT,73.3,8037924864,5.6875,2.9951171875,2.2158203125,4
2024-09-04T23:15:30+03:00,2024-09-04 23:15:30 IDT,73.3,8037924864,5.6875,2.9951171875,2.2158203125,4
2024-09-04T23:15:33+03:00,2024-09-04 23:15:33 IDT,68.2,8037781504,6.033203125,3.11181640625,2.2578125,4
2024-09-04T23:15:34+03:00,2024-09-04 23:15:34 IDT,68.2,8037781504,6.033203125,3.11181640625,2.2578125,4
2024-09-04T23:15:37+03:00,2024-09-04 23:15:37 IDT,77.8,8028610560,6.59130859375,3.2763671875,2.31591796875,4
2024-09-04T23:15:38+03:00,2024-09-04 23:15:38 IDT,77.8,8028610560,6.59130859375,3.2763671875,2.31591796875,4
2024-09-04T23:15:41+03:00,2024-09-04 23:15:41 IDT,62.3,8013041664,6.5439453125,3.32177734375,2.3359375,4
2024-09-04T23:15:42+03:00,2024-09-04 23:15:42 IDT,62.3,8013041664,6.5439453125,3.32177734375,2.3359375,4
2024-09-04T23:15:45+03:00,2024-09-04 23:15:45 IDT,59.9,8045715456,6.5439453125,3.32177734375,2.3359375,4
2024-09-04T23:15:46+03:00,2024-09-04 23:15:46 IDT,59.9,8045715456,6.5439453125,3.32177734375,2.3359375,4
2024-09-04T23:15:49+03:00,2024-09-04 23:15:49 IDT,50.8,8039739392,6.1796875,3.2998046875,2.333984375,4
2024-09-04T23:15:50+03:00,2024-09-04 23:15:50 IDT,50.8,8039739392,6.1796875,3.2998046875,2.333984375,4
2024-09-04T23:15:53+03:00,2024-09-04 23:15:53 IDT,45.0,8055058432,5.8447265625,3.27783203125,2.33203125,4
2024-09-04T23:15:54+03:00,2024-09-04 23:15:54 IDT,45.0,8055058432,5.8447265625,3.27783203125,2.33203125,4
2024-09-04T23:15:57+03:00,2024-09-04 23:15:57 IDT,57.2,8067649536,5.61669921875,3.27294921875,2.3359375,4
2024-09-04T23:15:58+03:00,2024-09-04 23:15:58 IDT,57.2,8067649536,5.61669921875,3.27294921875,2.3359375,4
2024-09-04T23:16:01+03:00,2024-09-04 23:16:01 IDT,37.3,8039354368,5.61669921875,3.27294921875,2.3359375,4
2024-09-04T23:16:03+03:00,2024-09-04 23:16:03 IDT,37.3,8039354368,5.61669921875,3.27294921875,2.3359375,4
2024-09-04T23:16:05+03:00,2024-09-04 23:16:05 IDT,57.2,8022114304,5.24658203125,3.23486328125,2.32861328125,4
2024-09-04T23:16:06+03:00,2024-09-04 23:16:06 IDT,57.2,8022114304,5.24658203125,3.23486328125,2.32861328125,4
2024-09-04T23:16:09+03:00,2024-09-04 23:16:09 IDT,44.6,8020099072,4.986328125,3.21435546875,2.32666015625,4
2024-09-04T23:16:10+03:00,2024-09-04 23:16:10 IDT,44.6,8020099072,4.986328125,3.21435546875,2.32666015625,4
2024-09-04T23:16:13+03:00,2024-09-04 23:16:13 IDT,31.6,8003612672,4.98779296875,3.244140625,2.34130859375,4
2024-09-04T23:16:14+03:00,2024-09-04 23:16:14 IDT,31.6,8003612672,4.98779296875,3.244140625,2.34130859375,4
2024-09-04T23:16:17+03:00,2024-09-04 23:16:17 IDT,40.0,7987392512,4.9892578125,3.2734375,2.35595703125,4
2024-09-04T23:16:19+03:00,2024-09-04 23:16:19 IDT,40.0,7987392512,4.9892578125,3.2734375,2.35595703125,4
